Lower tier local authorities Code,Lower tier local authorities,Age (101 categories) Code,Age (101 categories),Observation
E07000178,Oxford,0,Aged under 1 year,1382
E07000178,Oxford,1,Aged 1 year,1476
E07000178,Oxford,2,Aged 2 years,1458
E07000178,Oxford,3,Aged 3 years,1334
E07000178,Oxford,4,Aged 4 years,1487
E07000178,Oxford,5,Aged 5 years,1538
E07000178,Oxford,6,Aged 6 years,1456
E07000178,Oxford,7,Aged 7 years,1548
E07000178,Oxford,8,Aged 8 years,1593
E07000178,Oxford,9,Aged 9 years,1717
E07000178,Oxford,10,Aged 10 years,1714
E07000178,Oxford,11,Aged 11 years,1642
E07000178,Oxford,12,Aged 12 years,1727
E07000178,Oxford,13,Aged 13 years,1821
E07000178,Oxford,14,Aged 14 years,1746
E07000178,Oxford,15,Aged 15 years,1683
E07000178,Oxford,16,Aged 16 years,1719
E07000178,Oxford,17,Aged 17 years,1789
E07000178,Oxford,18,Aged 18 years,3747
E07000178,Oxford,19,Aged 19 years,6935
E07000178,Oxford,20,Aged 20 years,5558
E07000178,Oxford,21,Aged 21 years,5231
E07000178,Oxford,22,Aged 22 years,4423
E07000178,Oxford,23,Aged 23 years,3554
E07000178,Oxford,24,Aged 24 years,3226
E07000178,Oxford,25,Aged 25 years,3224
E07000178,Oxford,26,Aged 26 years,3155
E07000178,Oxford,27,Aged 27 years,3087
E07000178,Oxford,28,Aged 28 years,3021
E07000178,Oxford,29,Aged 29 years,2875
E07000178,Oxford,30,Aged 30 years,2872
E07000178,Oxford,31,Aged 31 years,2758
E07000178,Oxford,32,Aged 32 years,2588
E07000178,Oxford,33,Aged 33 years,2602
E07000178,Oxford,34,Aged 34 years,2489
E07000178,Oxford,35,Aged 35 years,2435
E07000178,Oxford,36,Aged 36 years,2228
E07000178,Oxford,37,Aged 37 years,2192
E07000178,Oxford,38,Aged 38 years,2057
E07000178,Oxford,39,Aged 39 years,2085
E07000178,Oxford,40,Aged 40 years,2063
E07000178,Oxford,41,Aged 41 years,2072
E07000178,Oxford,42,Aged 42 years,1967
E07000178,Oxford,43,Aged 43 years,1782
E07000178,Oxford,44,Aged 44 years,1759
E07000178,Oxford,45,Aged 45 years,1671
E07000178,Oxford,46,Aged 46 years,1744
E07000178,Oxford,47,Aged 47 years,1769
E07000178,Oxford,48,Aged 48 years,1769
E07000178,Oxford,49,Aged 49 years,1855
E07000178,Oxford,50,Aged 50 years,1702
E07000178,Oxford,51,Aged 51 years,1837
E07000178,Oxford,52,Aged 52 years,1817
E07000178,Oxford,53,Aged 53 years,1782
E07000178,Oxford,54,Aged 54 years,1666
E07000178,Oxford,55,Aged 55 years,1674
E07000178,Oxford,56,Aged 56 years,1677
E07000178,Oxford,57,Aged 57 years,1685
E07000178,Oxford,58,Aged 58 years,1584
E07000178,Oxford,59,Aged 59 years,1578
E07000178,Oxford,60,Aged 60 years,1343
E07000178,Oxford,61,Aged 61 years,1376
E07000178,Oxford,62,Aged 62 years,1217
E07000178,Oxford,63,Aged 63 years,1330
E07000178,Oxford,64,Aged 64 years,1178
E07000178,Oxford,65,Aged 65 years,1130
E07000178,Oxford,66,Aged 66 years,1049
E07000178,Oxford,67,Aged 67 years,1049
E07000178,Oxford,68,Aged 68 years,1019
E07000178,Oxford,69,Aged 69 years,976
E07000178,Oxford,70,Aged 70 years,994
E07000178,Oxford,71,Aged 71 years,1002
E07000178,Oxford,72,Aged 72 years,959
E07000178,Oxford,73,Aged 73 years,958
E07000178,Oxford,74,Aged 74 years,951
E07000178,Oxford,75,Aged 75 years,702
E07000178,Oxford,76,Aged 76 years,784
E07000178,Oxford,77,Aged 77 years,723
E07000178,Oxford,78,Aged 78 years,709
E07000178,Oxford,79,Aged 79 years,625
E07000178,Oxford,80,Aged 80 years,524
E07000178,Oxford,81,Aged 81 years,574
E07000178,Oxford,82,Aged 82 years,555
E07000178,Oxford,83,Aged 83 years,483
E07000178,Oxford,84,Aged 84 years,432
E07000178,Oxford,85,Aged 85 years,393
E07000178,Oxford,86,Aged 86 years,369
E07000178,Oxford,87,Aged 87 years,339
E07000178,Oxford,88,Aged 88 years,320
E07000178,Oxford,89,Aged 89 years,281
E07000178,Oxford,90,Aged 90 years,214
E07000178,Oxford,91,Aged 91 years,193
E07000178,Oxford,92,Aged 92 years,154
E07000178,Oxford,93,Aged 93 years,140
E07000178,Oxford,94,Aged 94 years,105
E07000178,Oxford,95,Aged 95 years,86
E07000178,Oxford,96,Aged 96 years,57
E07000178,Oxford,97,Aged 97 years,35
E07000178,Oxford,98,Aged 98 years,38
E07000178,Oxford,99,Aged 99 years,21
E07000178,Oxford,100,Aged 100 years and over,27
